Flight Route,Latitude,Longitude,Land Code
Zagreb/Franjo Tudjman Airport,,,
Budapest/Liszt Ferenc International Airport,47.4336969,19.26217796316692,HU
Bali Intl/Ngurah Rai Airport,-8.7458582,115.16733897840365,ID
Jakarta Intl/Soekarno-Hatta Airport,-6.1797874,106.7923764,ID
Jakarta City Airport,,,
Cork Airport,51.84173815,-8.493798524458427,IE
Dublin Airport,53.42829155,-6.24727406240776,IE
Tel-Aviv/Ben Gurion Airport,31.7825377,35.2196126,IL
Mumbai Airport,19.09015275,72.86371349380883,IN
Delhi (Igi) Airport,28.5564626,77.0866995,IN
"Bangalore International Airport, Devenahalli, Bangalore Airport",,,
Hyderabad Airport,25.319433349999997,68.36835559267595,PK
Tehran/Imam Khomaini Intl Airport,,,
Tehran/Mehrabad Intl Airport,35.6906171,51.30228194240669,IR
Keflavik Airport,63.99504265,-22.62386422358098,IS
Bari/Palese Airport,,,
Catania/Fontanarossa Airport,37.467242600000006,15.067568274467547,IT
Olbia/Costa Smeralda Airport,40.9025051,9.514826925342067,IT
Milano/Malpensa Airport,45.629627299999996,8.723547468967393,IT
Bergamo/Orio Al Serio Airport,45.67092965,9.69875557135455,IT
Torino/Caselle Airport,45.20096875,7.648975075273562,IT
Genova/Sestri Airport,,,
Milano/Linate Airport,45.4611832,9.2786741,IT
Bologna/Borgo Panigale Airport,44.5344306,11.288457445265177,IT
Verona/Villafranca Airport,45.39717245,10.885895928972548,IT
Venezia/Tessera Airport,45.5047908,12.3395025,IT
Roma/Fiumicino Airport,41.81539105,12.22648477049777,IT
Napoli/Capodichino Airport,40.8839923,14.284545745409144,IT
Pisa/S. Giusto Airport,43.7002832,10.3995212,IT
Firenze/Peretola Airport,,,
Amman/Queen Alia Airport,31.9381031,35.854212,JO
Narita Intl Airport,35.77587145,140.3933101399336,JP
Kansai Intl Airport,34.43420455,135.2225230169576,JP
Sapporo/New Chitose Airport,,,
Fukuoka Airport,33.586802,130.44739386660302,JP
Nairobi/Jomo Kenyatta Intl. Twr/App/Nof/Met/Civil Airlines Airport,,,
"Nairobi Acc,Fic,Rcc,Com Airport",,,
Unknown Airport - South Korea,,,
Incheon Intl Airport,37.4634593,126.44170925544927,KR
Gimpo Airport,37.55900775,126.7942402657747,KR
Kuwait/Intl Airport,29.2202681,47.95515559449122,KW
Almaty Airport,43.343207050000004,77.01258085779281,KZ
Beirut/Beirut Intl Airport,33.8184914,35.49091212064463,LB
Katunayake/Bandaranaike International Airport Colombo Airport,7.1789591,79.88381866572543,LK
Vilnius Intl Airport,54.63483615,25.290314330439507,LT
Luxembourg Airport,49.6347855,6.2162516,LU
Riga Airport,56.921994,23.9831931,LV
Casablanca/Mohammed V Airport,33.36928355,-7.5870085517275605,MA
Nador/El Aroui Airport,,,
Marrakech/Menara Airport,31.60587285,-8.032439841503606,MA
Tanger/Ibn Batouta Airport,,,
Luqa Airport,35.8494118,14.495967,MT
Mexico Airport,20.68945595,-105.24087138340344,MX
Cancun Airport,21.0406984,-86.88175904256647,MX
Sepang/Kl International Airport,,,
Lagos/Murtala Muhammed Airport,6.5848212,3.3329165,NG
Maastricht/Aachen Airport,50.91249905,5.77132050283004,NL
Eindhoven Airport,51.449830000000006,5.373710920240573,NL
Alesund/Vigra Airport,62.560215299999996,6.113434215998237,NO
Bergen/Flesland Airport,60.29653315,5.219817732441406,NO
Luftfartstilsynet Civil Aviation Authority Airport,,,
Kristiansand/Kjevik Airport,58.20414355,8.08327172379055,NO
Statfjord B Airport,,,
Oslo/Gardermoen Airport,60.19786535,11.09967535417638,NO
Sandefjord/Torp Airport,59.184689,10.25856025179457,NO
Trondheim/St. Olavs Hospital Airport,,,
Trondheim/Vaernes Airport,63.4547661,10.925133336071024,NO
Stavanger/Sola Airport,58.88097675,5.6226300043579425,NO
Muscat/Muscat Intl Airport,23.59947275,58.27380058745694,OM
Panama/Tocumen Airport,9.0678514,-79.3791823202381,PA
Lima-Callao/Intl Jorge Chavez Airport,-12.01930935,-77.11867830010124,PE
Lima-Callao/Intl. Jorge Chavez Airport,-12.01930935,-77.11867830010124,PE
Manila/Ninoy Aquino Intl Airport,14.5123016,121.02188606807516,PH
"Malabang, Lanao Del Sur Airport",7.6172392,124.05814682949386,PH
Gdansk Im Lecha Walesy Airport,54.3762064,18.474455102751115,PL
Krakow/Balice Airport,50.078255299999995,19.78625376760332,PL
Warszawa/Chopina Airport,52.16306505,20.970814903702912,PL
Faro Airport,37.017459599999995,-7.973933672397203,PT
Madeira Airport,32.69870795,-16.773314486554057,PT
Porto Airport,41.248961800000004,-8.680279638325514,PT
Lisboa Airport,38.7689425,-9.128721,PT
Doha International Airport,25.25754195,51.57210363956301,QA
Hamad International Airport,25.2748602,51.61245118344142,QA
Bucuresti/Henri Coanda Airport,,,
Beograd/Nikola Tesla Airport,44.81825555,20.30235943163158,RS
Sankt-Peterburg/Pulkovo Airport,59.801698599999995,30.267601113109503,RU
Moscow/Sheremetyevo Airport,55.96004625,37.41296395,RU
Kigali International Airport,-1.9635678,30.1349242,RW
Dammam/King Fahd International Airport,26.467396649999998,49.79887844079486,SA
Jeddah/King Abdulaziz International Airport,21.6605044,39.1738182,SA
Riyadh/King Khaled International Airport,,,
Goteborg/Landvetter Airport,57.662414749999996,12.287763001236742,SE
Malmo Airport,55.5361868,13.36971874775739,SE
Stockholm/Arlanda Airport,59.6467921,17.937044334194475,SE
Linkoping/Saab Airport,,,
Singapore/Changi Airport,1.352975,103.99605546603934,SG
Ljubljana/Brnik Airport,46.22247455,14.463847697380164,SI
Johan Adolf Pengel Airport,5.45209655,-55.18802501876111,SR
Damascus/Intl Airport,33.4101971,36.52405876170245,SY
Bangkok/Don Mueang Intl Airport,13.9122207,100.60353142390704,TH
Bangkok/Suvarnabhumi Intl Airport,13.68187665,100.74858027718852,TH
Monastir/Habib Bourguiba Airport,35.75891615,10.751787441663751,TN
Enfidha Zine El Abidine Ben Ali Airport,,,
Ankara/Esenboga Airport,40.1230634,32.99872088625601,TR
Antalya (Mil-Civ) Airport,,,
Istanbul/Ataturk Airport,40.978241600000004,28.826317699492456,TR
Izmir/Adnan Menderes Airport,38.289534950000004,27.158839158134594,TR
Mugla/Dalaman Airport,36.71183085,28.785783840398203,TR
Mugla/Milas-Bodrum Airport,37.24952535,27.67212809118392,TR
Gazipasa-Alanya Airport,36.29880585,32.29718214713545,TR
Istanbul/Sabiha Gokcen Airport,40.89433405,29.311805841114285,TR
Istanbul/Istanbul Havalimani Airport,41.27486835,28.732274885060942,TR
Taibei City/Taibei Intl Ap Airport,,,
Dar Es Salaam/Julius Nyerere Airport,-6.8741937,39.20752396159325,TZ
"Kilimanjaro App, Twr, Ais, Met, Civil Airlines Airport",,,
Zanzibar - Kisauni Airport,,,
Kyiv/Boryspil Airport,50.3401779,30.891557297991227,UA
Entebbe (Intl) Airport,0.044802,32.4429895,UG
Belfast/Aldergrove Airport,54.65265635,-6.228744060989918,GB
Birmingham Airport,52.45418475,-1.7438663377482455,GB
Coventry Airport,52.37005905,-1.4812022553400643,GB
Manchester Airport,53.350342049999995,-2.280369252664295,GB
Cardiff Airport,51.397871550000005,-3.3445890119919994,GB
Bristol Airport,51.38296995,-2.7186237715618864,GB
Liverpool Airport,53.33605215,-2.8494283971041767,GB
London Luton Airport,51.87810155,-0.36642547440865236,GB
Southampton Airport,50.95191505,-1.3561000015780094,GB
London Gatwick Airport,51.1541082,-0.18231164991272042,GB
London/City Airport,51.5042655,0.05490240133037683,GB
London Heathrow Airport,51.46773895,-0.4587800741571181,GB
Southend Airport,51.569686,0.7052992,GB
Humberside Airport,53.5713963,-0.35346073234607067,GB
Leeds Bradford Airport,53.86665035,-1.656781884498208,GB
Newcastle Airport,-32.80609885,151.84238794840638,AU
Durham Tees Valley Airport,54.50941065,-1.4247903167173146,GB
East Midlands Airport,52.828086549999995,-1.332669481847069,GB
Aberdeen/Dyce Airport,57.202226499999995,-2.201735686842105,GB
Inverness Airport,57.5431461,-4.0505794569171325,GB
Glasgow Airport,55.87055599999999,-4.435703726877146,GB
Edinburgh Airport,55.950128899999996,-3.3595079855289756,GB
Norwich Airport,52.67646,1.281815693546267,GB
London Stansted Airport,51.88696515,0.24419290157330298,GB
"Hartsfield - Jackson Atlanta International, Ga. Airport",,,
"Boston/General Edward Lawrence Logan International, Ma. Airport",,,
"Covington-Cincinnati/Northern Kentucky International, Ky. Airport",,,
"Dallas-Fort Worth International, Tx. Airport",,,
"Detroit Metropolitan Wayne County, Mi. Airport",,,
"Newark Liberty International, Nj. Airport",,,
"Washington Dulles International, Dc. Airport",,,
"George Bush Intercontinental/Houston, Tx. Airport",,,
"New York/John F. Kennedy International, Ny. Airport",,,
"Las Vegas/Mccarran International, Nv. Airport",,,
"Los Angeles International, Ca. Airport",33.9469648,-118.38657597737188,US
"Orlando International, Fl. Airport",,,
"Memphis International, Tenn. Airport",,,
"Miami International, Fl. Airport",,,
"Minneapolis-St. Paul International (Wold Chamberlain), Mn. Airport",,,
"Chicago - O'Hare International, Il. Airport",41.9777293,-87.880728,US
"Orlando, Fla. Airport",28.45916405,-81.3116538107262,US
"Portland International, Or. Airport",45.58744605,-122.59301280224814,US
"Philadelphia International, Pa. Airport",,,
"Seattle/Seattle-Tacoma International, Wa. Airport",,,
"San Francisco/Intl,Ca. Airport",37.622451999999996,-122.38398938548363,US
"Salt Lake City International, Ut. Airport",,,
"Margarita, Nueva Esparta Airport",,,
"Maiquetia, Intl, Simon Bolivar, Vargas Airport",,,
Cape Town (Cape Town International Airport) Airport,-33.97184585,18.602112520148317,ZA
O.R Tambo International Airport,-26.1321694,28.2310998,ZA
Olifants River Bridge Airport,-24.2662102,29.7845335,ZA
Maastricht/Aachen Airport - Berlin-Brandenburg Airport,,,
Maastricht/Aachen Airport - Muenchen Airport,,,
Maastricht/Aachen Airport - Hurghada / Intl Airport,,,
Maastricht/Aachen Airport - Iraklion/Nikos Kazantzakis Airport,,,
Maastricht/Aachen Airport - Kos/Ippokratis Airport,,,
Maastricht/Aachen Airport - Rodos/Diagoras Airport,,,
Maastricht/Aachen Airport - Zakinthos/Dionisios Solomos Airport,,,
Maastricht/Aachen Airport - Gran Canaria Airport,,,
Maastricht/Aachen Airport - Tenerife Sur/Reina Sofia Airport,,,
Maastricht/Aachen Airport - Alicante Airport,,,
Maastricht/Aachen Airport - Barcelona/El Prat Airport,,,
Maastricht/Aachen Airport - Girona Airport,,,
Maastricht/Aachen Airport - Malaga/Costa Del Sol Airport,,,
Maastricht/Aachen Airport - Palma De Mallorca Airport,,,
Maastricht/Aachen Airport - Reus Airport,,,
Maastricht/Aachen Airport - Valencia Airport,,,
Maastricht/Aachen Airport - Budapest/Liszt Ferenc International Airport,,,
Maastricht/Aachen Airport - Dublin Airport,,,
Maastricht/Aachen Airport - Bari/Palese Airport,,,
Maastricht/Aachen Airport - Trapani/Birgi Airport,,,
Maastricht/Aachen Airport - Bergamo/Orio Al Serio Airport,,,
Maastricht/Aachen Airport - Treviso/S.Angelo Airport,,,
Maastricht/Aachen Airport - Pisa/S. Giusto Airport,,,
Maastricht/Aachen Airport - Luqa Airport,,,
Maastricht/Aachen Airport - Amsterdam/Schiphol Airport,,,
Maastricht/Aachen Airport - Rotterdam Airport,,,
Maastricht/Aachen Airport - Katowice/Pyrzowice Airport,,,
Maastricht/Aachen Airport - Faro Airport,,,
Maastricht/Aachen Airport - Porto Airport,,,
Maastricht/Aachen Airport - Bucuresti/Baneasa-Aurel Vlaicu Airport,,,
Maastricht/Aachen Airport - Antalya (Mil-Civ) Airport,,,
Maastricht/Aachen Airport - Istanbul/Ataturk Airport,,,
Maastricht/Aachen Airport - Mugla/Dalaman Airport,,,
Maastricht/Aachen Airport - Mugla/Milas-Bodrum Airport,,,
Maastricht/Aachen Airport - London Stansted Airport,,,
Eindhoven Airport - Tirana Airport,,,
Eindhoven Airport - Innsbruck Airport,,,
Eindhoven Airport - Wien-Schwechat Airport,,,
Eindhoven Airport - Tuzla Airport,,,
Eindhoven Airport - Sofia Airport,,,
Eindhoven Airport - Varna Airport,,,
Eindhoven Airport - Zurich Airport,,,
Eindhoven Airport - Praha/Ruzyne Airport,,,
Eindhoven Airport - Brno/Turany Airport,,,
Eindhoven Airport - Hamburg Airport,,,
Eindhoven Airport - Muenchen Airport,,,
Eindhoven Airport - Berlin-Tegel Airport,,,
Eindhoven Airport - Kobenhavn/Kastrup Airport,,,
Eindhoven Airport - Athinai/Eleftherios Venizelos Airport,,,
Eindhoven Airport - Iraklion/Nikos Kazantzakis Airport,,,
Eindhoven Airport - Kos/Ippokratis Airport,,,
Eindhoven Airport - Rodos/Diagoras Airport,,,
Eindhoven Airport - Chania/Ioannis Daskalogiannis Airport,,,
Eindhoven Airport - Thessaloniki/Makedonia Airport,,,
Eindhoven Airport - Gran Canaria Airport,,,
Eindhoven Airport - Lanzarote Airport,,,
Eindhoven Airport - Tenerife Sur/Reina Sofia Airport,,,
Eindhoven Airport - Alicante Airport,,,
Eindhoven Airport - Bilbao Airport,,,
Eindhoven Airport - Barcelona/El Prat Airport,,,
Eindhoven Airport - Girona Airport,,,
Eindhoven Airport - Ibiza Airport,,,
Eindhoven Airport - Murcia/San Javier Airport,,,
Eindhoven Airport - Adolfo Suarez Madrid-Barajas Airport,,,
Eindhoven Airport - Malaga/Costa Del Sol Airport,,,
Eindhoven Airport - Palma De Mallorca Airport,,,
Eindhoven Airport - Reus Airport,,,
Eindhoven Airport - Valencia Airport,,,
Eindhoven Airport - Sevilla Airport,,,
Eindhoven Airport - Carcassonne/Salvaza Airport,,,
Eindhoven Airport - Marseille-Provence Airport,,,
Eindhoven Airport - Nice-Cote D'Azur Airport,,,
Eindhoven Airport - Paris-Charles De Gaulle Airport,,,
Eindhoven Airport - Zagreb/Franjo Tudjman Airport,,,
Eindhoven Airport - Budapest/Liszt Ferenc International Airport,,,
Eindhoven Airport - Debrecen Airport,,,
Eindhoven Airport - Dublin Airport,,,
Eindhoven Airport - Tel-Aviv/Ben Gurion Airport,,,
Eindhoven Airport - Pescara Airport,,,
Eindhoven Airport - Brindisi/Casale Airport,,,
Eindhoven Airport - Catania/Fontanarossa Airport,,,
Eindhoven Airport - Trapani/Birgi Airport,,,
Eindhoven Airport - Alghero/Fertilia Airport,,,
Eindhoven Airport - Milano/Malpensa Airport,,,
Eindhoven Airport - Bergamo/Orio Al Serio Airport,,,
Eindhoven Airport - Torino/Caselle Airport,,,
Eindhoven Airport - Bologna/Borgo Panigale Airport,,,
Eindhoven Airport - Treviso/S.Angelo Airport,,,
Eindhoven Airport - Venezia/Tessera Airport,,,
Eindhoven Airport - Roma/Ciampino Airport,,,
Eindhoven Airport - Roma/Fiumicino Airport,,,
Eindhoven Airport - Napoli/Capodichino Airport,,,
Eindhoven Airport - Pisa/S. Giusto Airport,,,
Eindhoven Airport - Kaunas Intl Airport,,,
Eindhoven Airport - Vilnius Intl Airport,,,
Eindhoven Airport - Riga Airport,,,
Eindhoven Airport - Fes/Saiss Airport,,,
Eindhoven Airport - Oujda/Angads Airport,,,
Eindhoven Airport - Nador/El Aroui Airport,,,
Eindhoven Airport - Marrakech/Menara Airport,,,
Eindhoven Airport - Skopje Airport,,,
Eindhoven Airport - Luqa Airport,,,
Eindhoven Airport - Amsterdam/Schiphol Airport,,,
Eindhoven Airport - Moss/Rygge Airport,,,
Eindhoven Airport - Gdansk Im Lecha Walesy Airport,,,
Eindhoven Airport - Krakow/Balice Airport,,,
Eindhoven Airport - Katowice/Pyrzowice Airport,,,
Eindhoven Airport - Lublin Airport,,,
Eindhoven Airport - Warszawa/Modlin Airport,,,
Eindhoven Airport - Poznan/Lawica Airport,,,
Eindhoven Airport - Warszawa/Chopina Airport,,,
Eindhoven Airport - Wroclaw/Strachowice Airport,,,
Eindhoven Airport - Faro Airport,,,
Eindhoven Airport - Porto Airport,,,
Eindhoven Airport - Lisboa Airport,,,
Eindhoven Airport - Bucuresti/Baneasa-Aurel Vlaicu Airport,,,
Eindhoven Airport - Cluj Napoca/Avram Iancu Airport,,,
Eindhoven Airport - Iasi Airport,,,
Eindhoven Airport - Bucuresti/Henri Coanda Airport,,,
Eindhoven Airport - Timisoara/Traian Vuia Airport,,,
Eindhoven Airport - Beograd/Nikola Tesla Airport,,,
Eindhoven Airport - Moscow/Vnukovo Airport,,,
Eindhoven Airport - Stockholm/Skavsta Airport,,,
Eindhoven Airport - Stockholm/Arlanda Airport,,,
Eindhoven Airport - Bratislava/M.R.Stefanik Airport,,,
Eindhoven Airport - Antalya (Mil-Civ) Airport,,,
Eindhoven Airport - Istanbul/Ataturk Airport,,,
Eindhoven Airport - Izmir/Adnan Menderes Airport,,,
Eindhoven Airport - Mugla/Dalaman Airport,,,
Eindhoven Airport - Mugla/Milas-Bodrum Airport,,,
Eindhoven Airport - Istanbul/Sabiha Gokcen Airport,,,
Eindhoven Airport - Manchester Airport,,,
Eindhoven Airport - London Gatwick Airport,,,
Eindhoven Airport - London/City Airport,,,
Eindhoven Airport - London Heathrow Airport,,,
Eindhoven Airport - Edinburgh Airport,,,
Eindhoven Airport - London Stansted Airport,,,
Groningen/Eelde Airport - Muenchen Airport,,,
Groningen/Eelde Airport - Kobenhavn/Kastrup Airport,,,
Groningen/Eelde Airport - Iraklion/Nikos Kazantzakis Airport,,,
Groningen/Eelde Airport - Kos/Ippokratis Airport,,,
Groningen/Eelde Airport - Gran Canaria Airport,,,
Groningen/Eelde Airport - Lanzarote Airport,,,
Groningen/Eelde Airport - Tenerife Sur/Reina Sofia Airport,,,
Groningen/Eelde Airport - Barcelona/El Prat Airport,,,
Groningen/Eelde Airport - Girona Airport,,,
Groningen/Eelde Airport - Palma De Mallorca Airport,,,
Groningen/Eelde Airport - Palma/Son San Juan (Mil) Airport,,,
Groningen/Eelde Airport - Marseille-Provence Airport,,,
Groningen/Eelde Airport - Bergamo/Orio Al Serio Airport,,,
Groningen/Eelde Airport - Maastricht/Aachen Airport,,,
Groningen/Eelde Airport - Rotterdam Airport,,,
Groningen/Eelde Airport - Gdansk Im Lecha Walesy Airport,,,
Groningen/Eelde Airport - Faro Airport,,,
Groningen/Eelde Airport - Antalya (Mil-Civ) Airport,,,
Groningen/Eelde Airport - Mugla/Dalaman Airport,,,
Groningen/Eelde Airport - Mugla/Milas-Bodrum Airport,,,
Groningen/Eelde Airport - Southend Airport,,,
Groningen/Eelde Airport - Aberdeen/Dyce Airport,,,
Groningen/Eelde Airport - London Stansted Airport,,,
Rotterdam Airport - Innsbruck Airport,,,
Rotterdam Airport - Salzburg Airport,,,
Rotterdam Airport - Wien-Schwechat Airport,,,
Rotterdam Airport - Praha/Ruzyne Airport,,,
Rotterdam Airport - Berlin-Brandenburg Airport,,,
Rotterdam Airport - Hamburg Airport,,,
Rotterdam Airport - Muenchen Airport,,,
Rotterdam Airport - Berlin-Tegel Airport,,,
Rotterdam Airport - Kobenhavn/Kastrup Airport,,,
Rotterdam Airport - Iraklion/Nikos Kazantzakis Airport,,,
Rotterdam Airport - Kos/Ippokratis Airport,,,
Rotterdam Airport - Rodos/Diagoras Airport,,,
Rotterdam Airport - Gran Canaria Airport,,,
Rotterdam Airport - Lanzarote Airport,,,
Rotterdam Airport - Tenerife Sur/Reina Sofia Airport,,,
Rotterdam Airport - Alicante Airport,,,
Rotterdam Airport - Almeria Airport,,,
Rotterdam Airport - Barcelona/El Prat Airport,,,
Rotterdam Airport - Girona Airport,,,
Rotterdam Airport - Ibiza Airport,,,
Rotterdam Airport - Adolfo Suarez Madrid-Barajas Airport,,,
Rotterdam Airport - Malaga/Costa Del Sol Airport,,,
Rotterdam Airport - Palma De Mallorca Airport,,,
Rotterdam Airport - Valencia Airport,,,
Rotterdam Airport - Bergerac-Roumaniere Airport,,,
Rotterdam Airport - Nice-Cote D'Azur Airport,,,
Rotterdam Airport - Montpellier Mediterranee Airport,,,
Rotterdam Airport - Paris-Charles De Gaulle Airport,,,
Rotterdam Airport - Paris-Orly Airport,,,
Rotterdam Airport - Hyeres-Le Palyvestre Airport,,,
Rotterdam Airport - Dubrovnik/Cilipi Airport,,,
Rotterdam Airport - Pula Airport,,,
Rotterdam Airport - Split/Kastela Airport,,,
Rotterdam Airport - Budapest/Liszt Ferenc International Airport,,,
Rotterdam Airport - Dublin Airport,,,
Rotterdam Airport - Brindisi/Casale Airport,,,
Rotterdam Airport - Milano/Malpensa Airport,,,
Rotterdam Airport - Bergamo/Orio Al Serio Airport,,,
Rotterdam Airport - Venezia/Tessera Airport,,,
Rotterdam Airport - Roma/Fiumicino Airport,,,
Rotterdam Airport - Pisa/S. Giusto Airport,,,
Rotterdam Airport - Fes/Saiss Airport,,,
Rotterdam Airport - Nador/El Aroui Airport,,,
Rotterdam Airport - Marrakech/Menara Airport,,,
Rotterdam Airport - Al Hoceima/Cherif El Idrissi Airport,,,
Rotterdam Airport - Tanger/Ibn Batouta Airport,,,
Rotterdam Airport - Luqa Airport,,,
Rotterdam Airport - Oslo/Gardermoen Airport,,,
Rotterdam Airport - Faro Airport,,,
Rotterdam Airport - Lisboa Airport,,,
Rotterdam Airport - Stockholm/Skavsta Airport,,,
Rotterdam Airport - Antalya (Mil-Civ) Airport,,,
Rotterdam Airport - Kayseri (Mil/Civ) Airport,,,
Rotterdam Airport - Istanbul/Ataturk Airport,,,
Rotterdam Airport - Mugla/Dalaman Airport,,,
